#Table1
objid,ra,dec,u,g,r,i,z,first_ra,first_dec,integr
1237667254014247422,180.815070639404,29.8753427231774,23.60321,22.38149,21.40297,20.77114,20.09639,0,0,0
1237667254014247427,180.816806794944,29.9172075459752,24.09179,22.30078,20.91077,20.44478,19.91898,0,0,0
1237667254014247430,180.816914698469,29.9231951196356,23.86584,22.55462,21.11751,20.32909,19.88439,0,0,0
1237667254014247431,180.816914318606,29.9223731241025,24.09494,24.83253,23.32778,23.47519,22.01848,0,0,0
1237667254014247695,180.907334797,29.7751845346985,22.45464,21.9933,20.97826,20.58168,20.1924,0,0,0
1237667254014247696,180.905037365049,29.8247184212042,22.75405,22.53676,22.50948,21.93175,21.28328,0,0,0
1237667254014247704,180.907405314658,29.8491494696727,24.22604,22.55775,21.0229,20.11665,19.72467,0,0,0
1237667254014247705,180.905806013049,29.8487664062744,23.42616,22.34782,21.87844,21.46359,20.96582,0,0,0
1237667254014247708,180.905983140426,29.9111122736561,22.55274,21.89937,20.78547,20.40657,20.10172,0,0,0
1237667254014247714,180.906458746697,29.9072326543076,24.1298,24.98177,25.34545,23.22879,21.99646,0,0,0
1237667254014247894,180.815824077621,29.8669806922107,24.97882,23.87799,22.58631,21.8785,22.40469,0,0,0
1237667254014248044,180.90635483789,29.7527881268446,25.30922,23.48344,22.58525,22.82966,22.64106,0,0,0
1237667254014248051,180.907259732973,29.794684423021,24.49188,23.31069,22.02077,21.70244,22.44218,0,0,0
1237667254014248133,180.815394500759,29.7575807035665,23.35502,23.5385,22.82166,21.17913,20.7346,0,0,0
1237667254014248135,180.816548167566,29.8087552173747,23.67827,23.66296,23.94455,22.156,20.8224,0,0,0
1237667254014248140,180.815326544441,29.8951555692069,25.91528,24.44788,23.92811,22.35472,22.98549,0,0,0
1237667254014248141,180.816963238568,29.8785797397468,22.25792,23.06688,22.16393,20.95299,20.71913,0,0,0
1237667254014248240,180.906649701846,29.8076507364624,26.494,24.56255,25.9814,23.39898,20.75703,0,0,0
1237667254014248280,180.8155103313,29.7651693401178,29.5736,20.69197,28.42241,18.18937,28.11419,0,0,0
1237667211601576086,180.812847880189,29.9793962176696,23.6849,20.52561,19.21397,18.59642,18.21052,0,0,0
1237667211601576093,180.814595081443,29.9878371641505,21.78324,19.61736,18.6444,18.30831,17.93487,0,0,0
1237667211601576096,180.812821950734,29.9887603186049,25.06993,24.64825,24.62343,22.70082,22.42054,0,0,0
1237667211601576598,180.812963435318,29.9504949630436,25.41885,22.66454,21.41925,21.05718,20.81563,0,0,0
1237667211601576599,180.813000370407,29.9663895206385,23.27556,22.53823,21.31703,20.77272,20.04932,0,0,0
1237667211601576604,180.812629511179,29.9975513906186,24.10185,21.76942,20.77242,20.4475,20.47179,0,0,0
1237667211601576993,180.814031195475,29.9628545503318,25.17464,24.60815,22.58974,21.82448,22.2989,0,0,0
1237667211601576995,180.814470249317,29.9995015597903,25.17607,23.37351,22.28663,21.74015,21.45983,0,0,0
1237667211601641680,180.91092927271,29.9400430821519,22.11304,24.40084,25.92817,24.75669,23.84627,0,0,0
1237667211601641681,180.911228175569,29.9770508755591,22.41634,25.5283,25.42268,23.32421,23.16884,0,0,0
1237667211601641851,180.910016795123,29.9820462614071,23.40051,21.70033,20.31242,19.877,19.502,0,0,0
1237667211601641853,180.910346018092,29.9614149570987,22.59011,22.2818,22.93716,22.29391,20.62531,0,0,0
1237667211601641855,180.911460778427,29.973137807014,23.36298,23.3691,22.80357,22.72822,22.25985,0,0,0
1237667254014247172,180.813375780577,29.9072135847625,22.29556,21.62802,20.70723,20.39048,21.51602,0,0,0
1237667254014247231,180.912045017814,29.7806538783084,20.61856,19.64074,18.93838,18.60418,18.52924,0,0,0
1237667254014247233,180.911471564885,29.7792998138832,24.39561,24.06756,22.31492,21.12148,21.77487,0,0,0
1237667254014247238,180.912113093631,29.8307211027361,21.01844,19.79773,19.41099,19.14228,19.05855,0,0,0
1237667254014247240,180.909865962928,29.8294358436451,24.35286,24.17693,23.06816,23.06463,22.71006,0,0,0
1237667254014247401,180.813223020892,29.8045431526443,23.15418,22.6569,22.6688,22.26852,22.74182,0,0,0
1237667254014247405,180.814505949942,29.8105225903185,23.054,22.39958,21.41294,20.60346,21.01307,0,0,0
1237667254014247406,180.813946297517,29.8356062259913,22.55905,23.0746,22.30994,21.93129,23.58337,0,0,0
1237667254014247415,180.814285021693,29.880172778958,24.63694,23.15575,23.05089,22.86567,21.85268,0,0,0
1237667254014247424,180.814723858812,29.9190883745212,23.05704,21.7487,20.76465,20.14089,19.82102,0,0,0
1237667254014247707,180.911357808404,29.7566497862663,22.99928,23.02762,23.13307,22.15335,21.71874,0,0,0
1237667254014247709,180.910293785168,29.7994903086185,23.04183,22.68916,22.22479,21.44037,21.22901,0,0,0
1237667254014247719,180.911214316747,29.8587574421932,24.74793,22.90819,21.70217,21.02147,20.26957,0,0,0
1237667254014247721,180.910009643501,29.918039087004,24.89251,23.16074,23.47875,23.34385,22.16003,0,0,0
1237667254014247881,180.812903891614,29.7729961271767,25.11988,23.4843,22.38959,21.92256,21.75261,0,0,0
1237667254014247884,180.812735239664,29.802765939065,23.87958,23.3122,22.55132,22.24033,21.18291,0,0,0
1237667254014247892,180.813811400073,29.8938227992053,23.86246,23.44436,22.29303,21.73144,21.34735,0,0,0
1237667254014247895,180.813970747852,29.9228282609861,23.4986,23.86561,22.31431,21.53722,20.90232,0,0,0
1237667254014248059,180.91102930986,29.8813656423463,24.81626,22.87977,22.11925,22.56714,22.30721,0,0,0
1237667254014248136,180.813123104826,29.8919941406688,24.83483,23.80381,22.9829,22.35381,22.01624,0,0,0
1237667254014248195,180.911098705067,29.7609773897394,24.81115,23.8684,23.34155,22.17948,20.73541,0,0,0
1237667254014248196,180.911394559649,29.8924054662225,23.75067,24.25156,22.85907,21.66233,21.20768,0,0,0
1237667254014248241,180.91064785832,29.8188619645312,24.91073,25.60528,24.98952,23.67758,20.51943,0,0,0
1237667254014248275,180.911349788739,29.8844388591054,22.86995,23.8705,23.45626,21.84757,23.19809,0,0,0
1237667211601576724,180.852187919391,29.9424410514703,23.4528,21.36432,19.76189,19.17242,18.82888,0,0,0
1237667211601576729,180.852735051697,29.9532920373195,23.01945,21.95495,20.51861,19.93937,19.4681,0,0,0
1237667211601576731,180.853043879438,29.9495351766568,25.31332,23.59584,24.91078,23.6161,23.41075,0,0,0
1237667211601576732,180.853202508329,29.9595158212705,25.24425,21.50119,19.9485,19.41998,18.98535,0,0,0
1237667211601576735,180.852602851543,29.9701562298069,24.36557,23.08243,22.95983,22.03287,21.64903,0,0,0
1237667211601576741,180.853919463783,29.9625743572619,23.30239,22.12995,21.43076,20.84945,20.56952,0,0,0
1237667211601576742,180.85217794158,29.9938051605833,24.71411,23.4649,22.35517,22.42495,23.13489,0,0,0
1237667211601576746,180.853103631893,29.9967967583631,23.67353,21.857,20.0713,19.18045,18.98721,0,0,0
1237667211601576747,180.853263100962,29.9961910358748,25.69344,23.35873,21.57089,20.85057,20.23965,0,0,0
1237667211601641555,180.9467352876,29.9841723102725,21.81581,19.402,18.00663,16.71568,16.04646,0,0,0
1237667211601641944,180.946105052576,29.9421812019698,22.77623,22.05131,24.87203,26.6809,23.6972,0,0,0
1237667211601641954,180.945945133236,29.9672875769227,22.32922,21.80243,21.01188,20.67665,21.04469,0,0,0
1237667254014247067,180.945793200872,29.8595637981143,19.95806,18.57817,17.99378,17.77081,17.66006,0,0,0
1237667254014247068,180.944571228992,29.8631921967077,23.48836,20.35588,18.98203,18.30091,17.96632,0,0,0
1237667254014247125,180.854362872671,29.8421021248542,21.7425,19.65853,18.12259,17.52962,17.18183,0,0,0
1237667254014247522,180.853638106968,29.8055817997639,23.74049,22.51149,22.18981,21.94186,22.07734,0,0,0
1237667254014247528,180.853328280702,29.907310804183,24.99319,24.29503,22.37811,21.45845,21.80786,0,0,0
1237667254014247539,180.854310057918,29.9121316621084,24.29142,22.06815,20.66061,20.0134,19.75171,0,0,0
1237667254014247806,180.945040440619,29.8150373937889,22.28081,21.41319,20.72161,20.66756,20.25048,0,0,0
1237667254014247808,180.945377267313,29.8084655678172,23.88838,22.83233,21.96043,21.38313,22.81955,0,0,0
1237667254014247812,180.945007994873,29.8539257340727,22.0966,21.45361,20.96391,20.76277,20.53923,0,0,0
1237667254014247822,180.946596559905,29.9333273278208,22.736,22.7753,22.69671,22.72863,22.54493,0,0,0
1237667254014247965,180.852412706748,29.768637677787,23.69217,25.04563,23.2544,21.9365,21.81444,0,0,0
1237667254014247967,180.853625443893,29.7521911863845,25.04913,25.92767,22.77011,25.48005,21.63664,0,0,0
1237667254014247970,180.852239295948,29.8003366593594,23.28163,23.69154,22.44751,21.66484,20.63135,0,0,0
1237667254014247974,180.854122679492,29.7844925988115,24.09998,23.40464,22.4643,21.92432,21.34105,0,0,0
1237667254014247975,180.853576544756,29.7986645851307,23.07335,23.72663,22.71253,23.37586,21.70732,0,0,0
1237667254014247981,180.85426107906,29.8212347828041,23.53344,24.08938,22.75697,23.6429,22.33694,0,0,0
1237667254014247983,180.85402587362,29.8467620720477,23.21463,23.28937,21.6869,21.17972,21.20927,0,0,0
1237667254014248086,180.944899017381,29.780508081118,23.62866,23.86067,22.61001,22.24025,22.25666,0,0,0
1237667254014248093,180.946153581855,29.9054923806997,24.84405,23.15211,21.95385,21.63916,20.73052,0,0,0
1237667254014248216,180.944618752767,29.9188451965235,24.67303,24.83171,24.32628,21.66272,20.47356,0,0,0
1237667254014248259,180.946733226421,29.7925331073468,23.77585,23.12136,21.98355,24.27665,21.15716,0,0,0
1237667254014248269,180.852893841523,29.8705307282907,25.32095,23.3569,23.48134,22.16693,20.99404,0,0,0
1237667211601576250,180.832481186511,29.966578778061,20.82414,20.23384,19.6461,19.46365,19.6295,0,0,0
1237667211601576251,180.832896697226,29.9665351615881,24.52323,24.22717,23.51455,22.28238,20.08648,0,0,0
1237667211601576252,180.833251794956,29.9572547424651,21.79278,25.40221,25.76313,25.64566,21.81223,0,0,0
1237667211601576659,180.831828482977,29.9360422894664,23.31286,21.97063,20.51628,19.9966,19.74864,0,0,0
1237667211601576666,180.832235552576,29.9887535340373,24.36051,23.45871,22.66793,22.66572,22.82393,0,0,0
1237667211601576667,180.833409963077,29.9729985316666,23.52013,23.0992,22.80603,21.76976,22.98031,0,0,0
1237667211601576670,180.833057383962,29.9639808747595,24.05664,22.0081,20.29313,19.73687,19.25525,0,0,0
